#lambda (Ang), continuum-normalized flux
6466.680, 0.9993
6466.820, 0.9993
6466.960, 0.9993
6467.100, 0.9993
6467.240, 0.9993
6467.380, 0.9993
6467.520, 0.9992
6467.660, 0.9992
6467.800, 0.9991
6467.940, 0.9991
6468.080, 0.9990
6468.220, 0.9988
6468.360, 0.9987
6468.500, 0.9985
6468.640, 0.9983
6468.780, 0.9981
6468.920, 0.9980
6469.060, 0.9979
6469.200, 0.9979
6469.340, 0.9979
6469.480, 0.9979
6469.620, 0.9980
6469.760, 0.9981
6469.900, 0.9982
6470.040, 0.9981
6470.180, 0.9980
6470.320, 0.9977
6470.460, 0.9973
6470.600, 0.9966
6470.740, 0.9957
6470.880, 0.9947
6471.020, 0.9937
6471.160, 0.9926
6471.300, 0.9916
6471.440, 0.9908
6471.580, 0.9903
6471.720, 0.9901
6471.860, 0.9904
6472.000, 0.9910
6472.140, 0.9919
6472.280, 0.9929
6472.420, 0.9940
6472.560, 0.9951
6472.700, 0.9961
6472.840, 0.9970
6472.980, 0.9977
6473.120, 0.9982
6473.260, 0.9986
6473.400, 0.9988
6473.540, 0.9990
6473.680, 0.9991
6473.820, 0.9991
6473.960, 0.9991
6474.100, 0.9991
6474.240, 0.9990
6474.380, 0.9989
6474.520, 0.9987
6474.660, 0.9986
6474.800, 0.9983
6474.940, 0.9981
6475.080, 0.9979
6475.220, 0.9977
6475.360, 0.9975
6475.500, 0.9974
6475.640, 0.9973
6475.780, 0.9974
6475.920, 0.9975
6476.060, 0.9977
6476.200, 0.9979
6476.340, 0.9981
